0.015	36
0.023	39
0.031	41
0.038	38
0.046	53
0.054	42
0.062	42
0.07	28
0.077	37
0.085	40
0.093	37
0.101	50
0.108	45
0.116	40
0.124	37
0.131	43
0.139	30
0.147	46
0.155	56
0.162	45
0.17	47
0.178	47
0.186	50
0.193	54
0.201	41
0.209	42
0.217	42
0.224	54
0.233	39
0.24	49
0.248	48
0.256	44
0.263	53
0.271	39
0.279	52
0.287	42
0.294	42
0.302	41
0.31	48
0.317	44
0.325	42
0.333	47
0.34	39
0.348	43
0.356	46
0.363	39
0.371	47
0.379	42
0.386	40
0.394	39
0.402	48
0.41	44
0.418	50
0.425	37
0.433	33
0.441	42
0.448	52
0.456	61
0.464	44
0.471	50
0.479	44
0.487	50
0.494	49
0.502	47
0.51	36
0.517	41
0.525	46
0.533	44
0.54	35
0.548	39
0.556	34
0.564	40
0.571	51
0.579	45
0.587	43
0.594	48
0.602	50
0.61	42
0.618	47
0.625	47
0.633	39
0.641	47
0.648	43
0.656	43
0.664	47
0.672	35
0.679	34
0.687	51
0.695	66
0.702	55
0.71	57
0.718	52
0.726	41
0.733	50
0.741	44
0.749	39
0.756	43
0.764	51
0.772	45
0.78	30
0.788	44
0.795	48
0.803	48
0.811	33
0.818	38
0.826	43
0.834	50
0.842	37
0.849	44
0.857	52
0.865	42
0.872	43
0.88	51
0.888	42
0.895	44
0.903	48
0.91	46
0.918	46
0.926	53
0.933	56
0.941	45
0.949	36
0.956	45
0.964	41
0.972	51
0.979	59
0.987	42
0.994	45
1.002	41
1.01	52
1.017	53
1.025	40
1.032	58
1.04	51
1.047	67
1.055	45
1.063	39
1.07	48
1.078	65
1.086	36
1.093	53
1.101	53
1.109	35
1.116	38
1.123	49
1.131	48
1.139	44
1.147	43
1.154	49
1.162	57
1.17	44
1.178	38
1.185	36
1.193	38
1.2	63
1.208	46
1.215	38
1.223	39
1.231	45
1.239	36
1.247	36
1.254	53
1.262	41
1.27	42
1.277	55
1.285	44
1.292	48
1.3	39
1.307	52
1.315	54
1.323	55
1.33	55
1.338	55
1.346	41
1.353	51
1.361	56
1.368	41
1.376	40
1.384	48
1.391	47
1.399	49
1.407	55
1.414	43
1.422	53
1.43	42
1.437	58
1.445	53
1.453	46
1.46	40
1.468	53
1.476	44
1.484	40
1.491	48
1.499	43
1.507	63
1.514	47
1.522	53
1.53	56
1.537	35
1.545	60
1.553	57
1.56	54
1.568	59
1.576	45
1.583	51
1.591	48
1.598	50
1.606	41
1.614	55
1.621	41
1.629	43
1.637	44
1.644	40
1.652	58
1.66	43
1.667	47
1.675	40
1.683	49
1.69	52
1.698	51
1.706	57
1.713	38
1.721	55
1.729	59
1.736	54
1.744	51
1.751	36
1.759	47
1.767	47
1.775	37
1.782	48
1.79	55
1.798	51
1.805	48
1.813	41
1.821	47
1.828	43
1.836	36
1.844	47
1.851	50
1.859	54
1.866	40
1.874	44
1.882	43
1.889	40
1.897	52
1.904	47
1.912	47
1.92	59
1.927	39
1.935	31
1.943	43
1.95	53
1.958	51
1.966	49
1.973	45
1.981	51
1.989	66
1.996	47
2.004	47
2.012	41
2.019	51
2.027	38
2.035	47
2.042	57
2.05	54
2.058	50
2.065	48
2.073	35
2.081	48
2.088	38
2.096	43
2.104	54
2.111	47
2.119	46
2.127	51
2.134	40
2.142	57
2.15	50
2.157	55
2.165	50
2.173	47
2.181	47
2.188	42
2.196	43
2.204	39
2.212	42
2.219	53
2.227	58
2.234	57
2.242	36
2.25	53
2.257	50
2.265	50
2.273	45
2.28	54
2.288	35
2.295	48
2.303	57
2.311	50
2.318	60
2.326	52
2.334	49
2.341	54
2.349	43
2.357	53
2.364	43
2.372	48
2.38	50
2.387	50
2.395	49
2.403	45
2.41	31
2.418	61
2.426	45
2.433	38
2.441	38
2.449	55
2.456	48
2.464	54
2.472	46
2.479	48
2.487	39
2.495	39
2.502	48
2.51	51
2.518	61
2.525	55
2.533	48
2.541	47
2.548	46
2.556	55
2.563	47
2.571	46
2.579	60
2.587	50
2.594	50
2.602	54
2.61	46
2.617	59
2.625	40
2.633	51
2.64	48
2.648	56
2.655	38
2.663	53
2.671	60
2.678	57
2.686	43
2.694	44
2.701	49
2.709	59
2.717	63
2.725	37
2.732	44
2.74	56
2.747	60
2.755	36
2.763	54
2.77	57
2.778	60
2.786	49
2.793	48
2.801	48
2.809	50
2.816	46
2.824	47
2.831	59
2.839	55
2.846	54
2.854	42
2.862	46
2.869	57
2.877	59
2.885	50
2.892	58
2.9	51
2.908	54
2.915	54
2.923	46
2.93	52
2.938	52
2.946	59
2.953	36
2.961	44
2.969	53
2.977	46
2.984	41
2.992	50
3	54
3.007	38
3.015	53
3.023	52
3.03	52
3.038	41
3.046	42
3.053	45
3.061	51
3.069	52
3.076	46
3.084	59
3.092	35
3.1	39
3.108	51
3.116	52
3.123	47
3.131	47
3.139	42
3.146	58
3.154	49
3.162	46
3.169	47
3.177	56
3.185	56
3.192	47
3.2	51
3.208	48
3.215	52
3.223	63
3.231	42
3.238	64
3.246	43
3.254	53
3.261	40
3.269	41
3.277	64
3.285	48
3.292	43
3.3	51
3.308	52
3.315	55
3.323	56
3.33	42
3.338	53
3.346	51
3.353	53
3.361	48
3.369	40
3.377	36
3.384	41
3.392	56
3.4	62
3.408	44
3.415	48
3.423	50
3.431	50
3.438	39
3.446	56
3.454	53
3.461	35
3.469	46
3.477	58
3.485	44
3.492	57
3.5	50
3.508	45
3.516	57
3.524	50
3.531	50
3.539	46
3.547	49
3.554	59
3.562	36
3.57	47
3.578	46
3.585	44
3.593	60
3.601	60
3.609	48
3.616	50
3.624	52
3.632	54
3.64	44
3.647	51
3.655	46
3.663	58
3.67	50
3.678	51
3.686	51
3.693	44
3.701	52
3.709	46
3.716	50
3.724	44
3.732	53
3.739	57
3.747	45
3.755	47
3.762	59
3.77	48
3.778	54
3.785	47
3.793	46
3.801	46
3.808	39
3.816	54
3.824	56
3.832	56
3.839	41
3.847	42
3.855	55
3.862	55
3.87	50
3.878	53
3.886	47
3.894	39
3.901	50
3.909	50
3.917	50
3.924	45
3.932	51
3.94	42
3.947	68
3.955	60
3.963	53
3.97	41
3.978	48
3.986	55
3.993	50
4.001	47
4.009	46
4.016	40
4.024	51
4.032	46
4.039	42
4.047	49
4.055	61
4.063	43
4.07	54
4.078	57
4.086	46
4.093	38
4.101	62
4.109	55
4.116	46
4.124	56
4.132	45
4.14	44
4.148	47
4.155	63
4.163	39
4.171	51
4.178	54
4.186	50
4.194	43
4.201	44
4.209	55
4.217	48
4.225	53
4.232	37
4.24	51
4.248	49
4.255	55
4.263	58
4.271	51
4.279	46
4.287	60
4.294	48
4.302	46
4.31	40
4.318	51
4.325	45
4.333	55
4.341	52
4.348	60
4.356	54
4.364	50
4.371	56
4.379	38
4.387	44
4.394	52
4.402	58
4.41	48
4.418	52
4.426	48
4.433	59
4.441	51
4.449	56
4.456	54
4.464	47
4.472	50
4.48	43
4.487	63
4.495	37
4.503	54
4.51	60
4.518	58
4.526	54
4.533	50
4.541	52
4.549	56
4.556	55
4.564	41
4.572	48
4.58	56
4.588	53
4.595	46
